calBP,Australia_NewZealand._Melanesia,Eastern_Africa,Eastern_Asia,Eastern_Europe,Europe,Micronesia_and_Polynesia,Middle_and_Southern.Africa,Middle_North_America,Northern_Africa,Northern_North_America_and_Greenland,South_America,Western_Africa,Western_Asia
9210,2.205487475,0.381905173,1.134767293,0.993711759,27.26568782,NA,1.474933628,25.53401488,9.254612425,7.075936518,14.22796657,1.547274793,15.30068158
9180,2.261882088,0.388325524,1.20205345,0.984998149,27.23645308,NA,1.413023248,25.19027414,9.485485168,7.03046183,14.50911149,1.618062151,15.55020373
9150,2.296291117,0.387115371,1.230192314,0.985812702,27.93924523,NA,1.392683538,25.24340509,9.838498243,6.984755773,15.035818,1.710567174,16.24057911
9120,2.310381324,0.381992972,1.235629391,0.989476968,28.55800496,NA,1.392766,25.34602577,10.08992176,6.962951418,15.42678821,1.769822276,16.77289094
9090,2.31629626,0.405429266,1.21951527,0.989379851,29.87482591,NA,1.406958743,25.61201722,10.57550337,6.920416458,15.92162961,1.887403102,17.90950184
9060,2.287293629,0.409206137,1.19197875,1.023411807,31.216868,NA,1.410997913,25.29549727,11.36799471,6.788850861,15.85297142,1.925657926,19.67348039
9030,2.244624223,0.368791101,1.191590719,1.107257858,32.05473634,NA,1.384403137,24.39657979,12.2613528,6.58728625,15.51222684,1.859486242,21.25688803
9000,2.184766393,0.338274963,1.171169537,1.187383537,32.74393952,NA,1.370715128,23.53905658,13.04372743,6.408023608,14.96497654,1.767710695,22.63300568
8970,2.122845768,0.315418362,1.145165729,1.252560857,33.19018747,NA,1.358821415,22.68734997,13.68449924,6.250158431,14.25250535,1.665199076,23.85778412
8940,2.063151625,0.28001699,1.134373569,1.323763297,33.19519066,NA,1.336627209,21.68342248,14.2063762,6.091462617,13.39375292,1.522342461,24.75226003
8910,1.999245263,0.248256373,1.118381269,1.404656905,33.43542751,NA,1.318896527,20.73856149,14.82414732,5.920530974,12.61561298,1.388224379,25.72704126
8880,1.957701789,0.185336088,1.127409832,1.466593865,32.80533051,NA,1.288639866,19.7459433,15.03735785,5.814865185,11.85434374,1.212010872,25.93154288
8850,1.948193571,0.169917229,1.134120989,1.490238263,32.62181705,NA,1.281512015,19.55363022,15.06670249,5.788320044,11.72435412,1.161986426,25.77040209
8820,1.952114624,0.169739232,1.14366159,1.505550524,32.71017449,NA,1.282323213,19.61256666,15.10786404,5.764156208,11.7409035,1.150002789,25.60039566
8790,1.958449857,0.168384845,1.156662616,1.52861299,32.82915112,NA,1.283530921,19.68835157,15.16956711,5.729608923,11.76537682,1.129860358,25.36532911
8760,1.974978854,0.167722047,1.174615405,1.558964337,33.09176689,NA,1.288941596,19.8719036,15.27323168,5.68154743,11.84402476,1.108526555,25.09063191
8730,1.991008645,0.168368845,1.187674923,1.579127933,33.33191995,NA,1.294662256,20.0448116,15.35692087,5.647834042,11.92635676,1.098309086,24.92063723
8700,2.048981514,0.174878341,1.19899693,1.600987821,34.10265692,NA,1.324256872,20.6511576,15.62810914,5.621753551,12.28920199,1.126096314,25.06345283
8670,2.129816011,0.186382229,1.225077175,1.64016531,35.25869642,NA,1.375139299,21.38443917,16.12431803,5.600919784,12.76468272,1.179593441,25.49188489
8640,2.240680581,0.214165298,1.271258022,1.671003096,36.90352001,NA,1.457915175,22.17975392,16.83864595,5.617198565,13.33906216,1.307448991,26.63577663
8610,2.363088697,0.249236457,1.381878338,1.719049403,38.4848143,NA,1.582403269,22.94502058,17.62132269,5.60618086,13.89630351,1.472584425,28.04659571
8580,2.490004531,0.284631525,1.573725147,1.797091801,39.93993945,NA,1.757908274,23.7671467,18.49534207,5.567099768,14.45957673,1.659191072,29.59393205
8550,2.607930459,0.319667719,1.754768114,1.870423431,41.27678943,NA,1.922201095,24.44183713,19.32958027,5.532075665,14.95574305,1.840067396,31.11279217
8520,2.726532688,0.348879602,1.9768442,1.967925208,42.63974951,NA,2.114239109,25.3780583,20.21731713,5.483601656,15.51116954,2.014762692,32.55428611
8490,2.828031078,0.358397692,2.194808958,2.132033511,43.99254869,NA,2.29321089,26.7830279,21.01868489,5.425626156,16.01953149,2.156083445,33.63594947
8460,2.971054812,0.347237759,2.328781393,2.338207902,45.77193158,NA,2.429450492,28.19913727,21.35962457,5.409727876,16.40174744,2.260390643,34.42235402
8430,3.198099963,0.329565324,2.417484705,2.465897337,47.11554021,NA,2.533683533,28.28311999,21.19685477,5.508261291,16.34780832,2.292744898,35.5400315
8400,3.456818695,0.306257498,2.428966077,2.497734668,47.49099364,NA,2.542088692,27.81058245,20.62982282,5.648709307,16.03850893,2.262017789,36.98086449
8370,3.722001861,0.282306501,2.425848162,2.495238087,47.38598174,NA,2.53919454,27.06801197,19.83365995,5.791645317,15.57423083,2.208344359,38.44772718
8340,3.987060688,0.25711332,2.434960294,2.498395194,47.28346326,NA,2.551413312,26.37108206,19.0240112,5.933796887,15.10803194,2.153300036,39.84063574
8310,4.236023674,0.240579174,2.375313028,2.465767083,47.14043833,NA,2.494342201,25.15952185,18.18169037,6.088663177,14.51923513,2.100784693,41.3401358
8280,4.44710666,0.236658899,2.370165132,2.355509377,46.12213883,NA,2.463445908,22.97179198,17.24771949,6.226589676,13.67292757,2.023435719,42.70904892
8250,4.530154159,0.224458188,2.456292766,2.392843276,44.67342762,NA,2.448640931,21.8885478,16.54028469,6.363868087,12.93338334,1.937820668,42.77748721
8220,4.479590218,0.197325739,2.596065919,2.819806375,44.15714523,NA,2.443473172,22.46672765,16.1998858,6.58126228,12.49767374,1.884680114,41.74668105
8190,4.392097963,0.168660961,2.700540113,3.280450969,44.58017496,NA,2.453374924,23.4149953,16.12258428,6.82404385,12.26846278,1.848936098,40.25580692
8160,4.303488633,0.142173193,2.772042541,3.693095301,45.19316093,NA,2.437769475,24.34157105,16.14743883,7.052552949,12.10931353,1.819355593,38.78890426
8130,4.22296583,0.117226779,2.83588313,4.021924406,45.70482618,NA,2.428972372,25.13832831,16.14274659,7.24822467,11.94349056,1.787809461,37.27773817
8100,4.140291913,0.098618652,3.1089626,4.905488886,46.62755309,NA,2.476248338,26.57555199,16.18383493,7.526807999,11.87224231,1.768965476,36.04027958
8070,4.077351558,0.120311195,3.779359958,6.538431797,48.69587252,NA,2.589123934,28.91105307,16.69622457,7.831547309,12.18382518,1.773173635,35.38616077
8040,4.063220491,0.168386733,4.587870333,8.073337963,50.85379856,NA,2.748272322,30.78887086,17.24938632,7.937611249,12.65750079,1.782315793,35.87135016
8010,4.035788674,0.214502417,5.405838651,9.492164251,53.20053541,NA,2.944357011,32.19142268,17.52847984,7.891395098,13.13245503,1.780545141,36.4362138
7980,3.986557765,0.250354073,5.987835073,10.8031143,55.20314293,NA,3.088094808,33.15205337,17.53636772,7.852600766,13.59087417,1.786212785,36.47475939
7950,3.927267326,0.288302573,6.669213609,12.29908342,57.48759123,NA,3.281535312,34.46629929,17.60468257,7.844727807,14.0178018,1.787455256,36.82423632
7920,3.871875325,0.317969285,7.23295929,13.63346555,59.47547907,NA,3.398975246,35.39444517,17.60554484,7.83470488,14.48887614,1.794958245,36.72474963
7890,3.819361209,0.318050551,7.489334153,14.12024661,60.69338721,NA,3.42260798,35.06142496,17.42041813,7.696798284,14.80377473,1.779166814,35.9285037
7860,3.749051171,0.288462143,7.448421811,14.21204031,61.29132212,NA,3.383608617,34.03259949,16.99923804,7.530694901,14.92976846,1.756310431,34.90137888
7830,3.694102659,0.261506017,7.261745415,14.36113,61.58157765,NA,3.330899405,32.8534275,16.73786426,7.388526816,15.09723803,1.749036613,33.65496059
7800,3.666913226,0.257869731,7.274091877,14.86355516,62.14819539,NA,3.314731607,32.20840726,16.91029988,7.260506918,15.32661095,1.741771497,32.71806279
7770,3.638904579,0.278131384,7.443434277,15.80936491,63.21615473,NA,3.346155375,32.08791451,17.30905207,7.123620688,15.56016649,1.731555924,31.97665493
7740,3.611600226,0.374048287,7.653317717,17.56890504,65.12934269,NA,3.366661167,32.77904843,17.89849529,7.016088467,15.5821747,1.755781329,31.00437868
7710,3.594899101,0.520004106,8.001823394,19.57571081,67.46899236,NA,3.426994463,34.06620973,18.56624949,6.94878307,15.29158906,1.798728885,30.31261411
7680,3.601320504,0.674783931,8.468929254,21.43975481,69.79592943,NA,3.488775912,35.39796348,19.2187633,6.930137349,14.7770474,1.858954564,29.56150185
7650,3.654787257,0.793836083,8.965104521,22.77914546,72.04284607,NA,3.486382321,36.75437743,19.75408126,6.982787755,13.99344739,1.98178238,28.67110774
7620,3.710576449,0.890495661,9.098591155,23.26120128,73.94477193,NA,3.360122836,37.88531453,20.07296942,7.046623503,13.17290362,2.184387434,27.79220759
7590,3.787418765,0.963099797,9.258753751,23.61969082,75.7164113,NA,3.215199102,38.96021554,20.32143684,7.135148255,12.31156916,2.387834081,26.94163481
7560,3.846513477,1.031375648,9.115058068,22.84865615,76.71943276,NA,3.024382201,39.22267746,20.34586082,7.210134074,11.56627534,2.577684887,26.20591831
7530,3.881499093,1.020117952,8.767258462,21.33486463,77.20456639,NA,2.866475233,38.78329434,20.16037891,7.22913864,11.18520213,2.707204863,25.61676627
7500,3.900000617,0.963159362,8.199625291,19.83154112,78.31349499,NA,2.731920965,38.11222208,19.99519245,7.169645329,10.86031044,2.767558335,24.77421413
7470,3.866142495,0.859212658,7.120647493,18.58578484,80.50510996,NA,2.602429199,37.05087823,19.88035402,6.967403358,10.60627219,2.712461046,23.4381275
7440,3.81656959,0.80049615,6.213317994,17.77845968,82.17162572,NA,2.576879576,36.38583685,19.7843263,6.764506389,10.5692206,2.578363429,22.59208017
7410,3.765221008,0.749092232,5.438491713,17.33254114,84.14995415,NA,2.597248825,35.62170527,19.7868341,6.568520495,10.48538028,2.401692858,21.60092532
7380,3.698470943,0.67787624,4.60758055,17.80801381,87.78268133,NA,2.63423322,34.49588177,19.79804371,6.394924503,10.28155773,2.235489342,20.33618568
